Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-08-16,0.069395,0.076669,0.06831,0.069743,22035.269,2017-08-16 23:59:59.999000064,1572.47841719,21235.0,9693.43900000,691.48619731,0
2017-08-17,0.069735,0.072254,0.068077,0.070479,24002.431,2017-08-17 23:59:59.999000064,1686.62915217,21902.0,11539.09200000,810.81256560,0
2017-08-18,0.070479,0.073005,0.069565,0.071433,29861.756,2017-08-18 23:59:59.999000064,2119.4724845,24863.0,13550.89800000,961.63183257,0
2017-08-19,0.071187,0.073741,0.069925,0.070036,19918.665,2017-08-19 23:59:59.999000064,1423.13687305,17925.0,9557.49600000,683.21015383,0
2017-08-20,0.070347,0.073,0.069,0.072198,22530.294,2017-08-20 23:59:59.999000064,1604.55621322,25211.0,10076.75100000,718.12849409,0
2017-08-21,0.072198,0.088658,0.071509,0.08052,48283.416,2017-08-21 23:59:59.999000064,3853.92734961,38628.0,23734.14000000,1891.11375598,0
2017-08-22,0.080688,0.0845,0.07001,0.076825,42660.05,2017-08-22 23:59:59.999000064,3403.45228003,37676.0,20201.66300000,1614.02561432,0
2017-08-23,0.076794,0.079689,0.074164,0.07706,41661.392,2017-08-23 23:59:59.999000064,3190.72741408,39489.0,20838.57100000,1595.23480397,0
2017-08-24,0.07706,0.078649,0.074567,0.075339,44430.692,2017-08-24 23:59:59.999000064,3397.32062849,32387.0,22261.02600000,1701.70345517,0
2017-08-25,0.075302,0.0779,0.074742,0.076587,35690.377,2017-08-25 23:59:59.999000064,2730.55917422,27997.0,18864.97100000,1443.15919576,0
2017-08-26,0.076593,0.078708,0.075269,0.076647,31475.752,2017-08-26 23:59:59.999000064,2413.9001983,21898.0,16968.25600000,1301.70908479,0
2017-08-27,0.076647,0.0826,0.075377,0.080436,36949.127,2017-08-27 23:59:59.999000064,2863.88871942,27862.0,20213.33400000,1567.03995873,0
2017-08-28,0.080649,0.081884,0.078501,0.079632,28745.668,2017-08-28 23:59:59.999000064,2298.99136802,22410.0,15654.07100000,1252.20986331,0
2017-08-29,0.079632,0.084402,0.079037,0.081551,32574.221,2017-08-29 23:59:59.999000064,2646.16066127,27038.0,17225.96900000,1399.18224611,0
2017-08-30,0.081551,0.085085,0.080776,0.0842,30766.059,2017-08-30 23:59:59.999000064,2552.04532987,26521.0,16740.83500000,1388.52362344,0
2017-08-31,0.084032,0.084198,0.081598,0.081967,26520.598,2017-08-31 23:59:59.999000064,2195.58416369,21821.0,13622.22400000,1127.83984406,0
2017-09-01,0.081967,0.084408,0.080015,0.080849,28097.572,2017-09-01 23:59:59.999000064,2304.83350874,28007.0,15142.46200000,1242.62642507,0
2017-09-02,0.080849,0.08274,0.073861,0.076396,32502.566,2017-09-02 23:59:59.999000064,2516.50876939,33563.0,16709.19700000,1293.33206464,0
2017-09-03,0.076396,0.07886,0.07374,0.075938,42102.842,2017-09-03 23:59:59.999000064,3203.02652891,44358.0,22606.97700000,1721.13317990,0
2017-09-04,0.076031,0.076071,0.065,0.07032,50413.571,2017-09-04 23:59:59.999000064,3570.09857989,45840.0,26631.60200000,1883.86810144,0
2017-09-05,0.070276,0.072154,0.065655,0.071788,41673.107,2017-09-05 23:59:59.999000064,2918.42712289,42865.0,23435.54900000,1641.34168729,0
2017-09-06,0.071788,0.073871,0.070954,0.072821,34711.436,2017-09-06 23:59:59.999000064,2515.95803224,35794.0,18612.11400000,1349.61189515,0
2017-09-07,0.072821,0.07299,0.065,0.0716,16057.518,2017-09-07 23:59:59.999000064,1144.17562648,16711.0,7059.14300000,504.19017142,0
2017-09-08,0.0716,0.07251,0.06555,0.070246,22241.963,2017-09-08 23:59:59.999000064,1562.36501504,22229.0,8979.83300000,633.68242467,0
2017-09-09,0.070246,0.071678,0.068033,0.070151,8597.585,2017-09-09 23:59:59.999000064,599.01824029,8863.0,3735.54000000,260.75655268,0
2017-09-10,0.0701,0.0711,0.068181,0.070127,7873.985,2017-09-10 23:59:59.999000064,548.59164025,8966.0,3221.93200000,224.96899707,0
2017-09-11,0.070599,0.071998,0.068755,0.07063,7460.722,2017-09-11 23:59:59.999000064,524.55179229,10344.0,3026.37300000,213.34400718,0
2017-09-12,0.0706,0.072784,0.068,0.0706,14505.753,2017-09-12 23:59:59.999000064,1030.41483522,18056.0,6932.20600000,494.14967517,0
2017-09-13,0.070763,0.071498,0.067356,0.071468,7572.948,2017-09-13 23:59:59.999000064,529.43032284,9717.0,3228.55300000,226.27556086,0
2017-09-14,0.071398,0.071509,0.067101,0.068765,11387.596,2017-09-14 23:59:59.999000064,792.61883382,14244.0,4862.79800000,339.10360899,0
2017-09-15,0.068047,0.071,0.065,0.069512,10770.278,2017-09-15 23:59:59.999000064,742.29486288,14219.0,5117.55100000,353.61324964,0
2017-09-16,0.069519,0.070036,0.066739,0.068315,8247.263,2017-09-16 23:59:59.999000064,567.93957323,9351.0,3773.40400000,260.14301168,0
2017-09-17,0.068372,0.070488,0.067234,0.069848,4193.778,2017-09-17 23:59:59.999000064,288.40907718,5293.0,2183.43400000,150.38883452,0
2017-09-18,0.069848,0.075913,0.069615,0.0731,5846.332,2017-09-18 23:59:59.999000064,427.76936565,8877.0,2665.64400000,195.20530668,0
2017-09-19,0.073045,0.073523,0.0718,0.072525,8900.485,2017-09-19 23:59:59.999000064,644.48417376,12928.0,4668.93600000,338.30472817,0
2017-09-20,0.072454,0.0734,0.0718,0.073345,16794.262,2017-09-20 23:59:59.999000064,1218.21445515,20443.0,8133.19100000,589.93719961,0
2017-09-21,0.073345,0.073799,0.070565,0.07141,24583.899,2017-09-21 23:59:59.999000064,1786.32644351,20774.0,11813.32400000,858.12250098,0
2017-09-22,0.07141,0.072964,0.071,0.072964,24350.635,2017-09-22 23:59:59.999000064,1754.98888389,21630.0,11599.35700000,835.65823386,0
2017-09-23,0.072874,0.075694,0.071964,0.075557,23028.2,2017-09-23 23:59:59.999000064,1693.76539937,21738.0,10956.60200000,805.17986557,0
2017-09-24,0.075556,0.077998,0.075398,0.077123,28776.606,2017-09-24 23:59:59.999000064,2214.74545149,22889.0,14109.83800000,1085.80294784,0
2017-09-25,0.077184,0.0773,0.074527,0.075174,34549.321,2017-09-25 23:59:59.999000064,2626.33423195,23656.0,18240.62500000,1386.89635098,0
2017-09-26,0.075173,0.07595,0.073392,0.074491,35669.831,2017-09-26 23:59:59.999000064,2658.01527455,28488.0,18946.07400000,1412.10550441,0
2017-09-27,0.074492,0.074731,0.071977,0.073445,44263.081,2017-09-27 23:59:59.999000064,3244.84779012,33430.0,23669.17200000,1735.73878839,0
2017-09-28,0.073465,0.0737,0.071509,0.072509,52476.402,2017-09-28 23:59:59.999000064,3807.32971704,46234.0,28181.11300000,2045.52277031,0
2017-09-29,0.072507,0.07259,0.069015,0.07091,40578.601,2017-09-29 23:59:59.999000064,2864.26565857,40812.0,20067.43000000,1417.59131521,0
2017-09-30,0.070878,0.0733,0.069401,0.070062,37140.806,2017-09-30 23:59:59.999000064,2622.79601338,41460.0,17491.19700000,1236.54940711,0
2017-10-01,0.070181,0.071484,0.068109,0.069105,38693.377,2017-10-01 23:59:59.999000064,2694.17980938,41213.0,18853.07200000,1313.43391925,0
2017-10-02,0.069104,0.069299,0.0665,0.068658,40647.555,2017-10-02 23:59:59.999000064,2757.77106947,43929.0,19212.46300000,1304.60085814,0
2017-10-03,0.06829,0.06902,0.066808,0.068016,37219.457,2017-10-03 23:59:59.999000064,2534.36735403,40039.0,17851.87100000,1216.21148075,0
2017-10-04,0.06775,0.070633,0.067477,0.069249,34536.247,2017-10-04 23:59:59.999000064,2386.78784377,39480.0,16859.76900000,1166.04437927,0
2017-10-05,0.069147,0.070223,0.067666,0.068509,27871.849,2017-10-05 23:59:59.999000064,1921.11897596,30952.0,13261.81100000,914.70615244,0
2017-10-06,0.068509,0.071062,0.067976,0.070986,31667.564,2017-10-06 23:59:59.999000064,2180.85885835,35870.0,15354.83100000,1057.84843024,0
2017-10-07,0.070779,0.072239,0.069733,0.070365,28812.37,2017-10-07 23:59:59.999000064,2042.98486052,30914.0,13238.38900000,939.21389176,0
2017-10-08,0.070262,0.07062,0.066554,0.067053,35998.516,2017-10-08 23:59:59.999000064,2477.45900959,38955.0,16535.46000000,1139.12579324,0
2017-10-09,0.066964,0.067457,0.058516,0.06215,46465.45,2017-10-09 23:59:59.999000064,2955.4917142,56350.0,21264.64300000,1353.95624997,0
2017-10-10,0.062316,0.066501,0.059963,0.063038,44208.704,2017-10-10 23:59:59.999000064,2741.74387073,51831.0,21086.99400000,1308.46934214,0
2017-10-11,0.063047,0.064117,0.061651,0.063065,30902.734,2017-10-11 23:59:59.999000064,1946.11810028,32973.0,15534.61300000,978.37021485,0
2017-10-12,0.063064,0.0635,0.055748,0.055763,39216.6,2017-10-12 23:59:59.999000064,2330.92951822,36822.0,18577.16700000,1105.49581427,0
2017-10-13,0.055763,0.062496,0.051084,0.060017,58977.006,2017-10-13 23:59:59.999000064,3386.47475753,47101.0,25687.13000000,1475.15634351,0
2017-10-14,0.060019,0.0621,0.057431,0.058679,26992.222,2017-10-14 23:59:59.999000064,1622.88547018,21761.0,12720.88800000,765.41827140,0
2017-10-15,0.058679,0.060999,0.057413,0.059281,28566.596,2017-10-15 23:59:59.999000064,1687.42206852,22613.0,13870.28000000,820.13002793,0
2017-10-16,0.059107,0.062166,0.057721,0.058294,33150.297,2017-10-16 23:59:59.999000064,1991.54422185,29094.0,17154.46200000,1031.05681138,0
2017-10-17,0.058026,0.060348,0.055838,0.056612,24987.9,2017-10-17 23:59:59.999000064,1439.04071608,21985.0,12227.85100000,705.03856511,0
2017-10-18,0.056612,0.057341,0.055398,0.056161,27764.705,2017-10-18 23:59:59.999000064,1565.22208092,24718.0,13244.16500000,747.43506104,0
2017-10-19,0.056299,0.056527,0.0532,0.053886,26329.594,2017-10-19 23:59:59.999000064,1438.77918081,24259.0,13517.84500000,739.96057246,0
2017-10-20,0.053886,0.054499,0.049547,0.050511,33404.445,2017-10-20 23:59:59.999000064,1757.4730448,28392.0,15655.18200000,824.96590135,0
2017-10-21,0.050503,0.051225,0.04705,0.049954,29712.017,2017-10-21 23:59:59.999000064,1453.50711148,22300.0,14414.56400000,704.77948875,0
2017-10-22,0.049954,0.0516,0.048904,0.048973,24111.205,2017-10-22 23:59:59.999000064,1207.39385901,21104.0,11951.53800000,598.99207104,0
2017-10-23,0.049336,0.049375,0.047177,0.047839,33580.724,2017-10-23 23:59:59.999000064,1624.06189099,24487.0,16737.00500000,810.13468362,0
2017-10-24,0.047852,0.056,0.047184,0.053709,43723.845,2017-10-24 23:59:59.999000064,2335.69406199,35218.0,21051.54300000,1124.26437690,0
2017-10-25,0.053712,0.054154,0.051572,0.051794,26376.618,2017-10-25 23:59:59.999000064,1404.04563572,19740.0,11500.89700000,613.13258203,0
2017-10-26,0.051794,0.052395,0.049509,0.050089,23839.182,2017-10-26 23:59:59.999000064,1212.37656977,20799.0,10509.38100000,534.10794137,0
2017-10-27,0.050311,0.051849,0.0495,0.051319,24822.76,2017-10-27 23:59:59.999000064,1259.20799934,20815.0,11892.43200000,604.07281683,0
2017-10-28,0.051322,0.051859,0.050451,0.051154,22713.123,2017-10-28 23:59:59.999000064,1161.88843763,19470.0,12000.52200000,614.13420818,0
2017-10-29,0.051199,0.053965,0.048448,0.04965,32926.867,2017-10-29 23:59:59.999000064,1692.49072668,27499.0,14937.07800000,769.00463573,0
2017-10-30,0.049364,0.0512,0.049364,0.049899,28009.721,2017-10-30 23:59:59.999000064,1403.62453565,24322.0,13464.29700000,675.54366611,0
2017-10-31,0.049977,0.050576,0.04681,0.047001,31924.015,2017-10-31 23:59:59.999000064,1563.89735416,30246.0,14975.88200000,734.64161265,0
2017-11-01,0.047001,0.04769,0.042296,0.042766,44203.963,2017-11-01 23:59:59.999000064,2028.27949209,40271.0,21587.32500000,990.58819784,0
2017-11-02,0.042797,0.043177,0.037589,0.040287,60117.457,2017-11-02 23:59:59.999000064,2457.05843823,49606.0,28997.50400000,1186.19694590,0
2017-11-03,0.040488,0.043951,0.039401,0.042666,48031.894,2017-11-03 23:59:59.999000064,1959.36265397,40705.0,22659.39700000,925.17261378,0
2017-11-04,0.042661,0.043084,0.039755,0.040575,34727.418,2017-11-04 23:59:59.999000064,1438.70965152,33201.0,14820.59400000,614.46356359,0
2017-11-05,0.040535,0.040981,0.038815,0.040147,34433.008,2017-11-05 23:59:59.999000064,1373.39796019,30630.0,14839.51400000,592.37912464,0
2017-11-06,0.04014,0.0435,0.039856,0.042641,44094.715,2017-11-06 23:59:59.999000064,1819.81961251,35402.0,21225.42100000,876.59127880,0
2017-11-07,0.042643,0.042926,0.0405,0.041049,41768.583,2017-11-07 23:59:59.999000064,1740.8603085,37882.0,20266.04200000,845.13956879,0
2017-11-08,0.041133,0.046194,0.0385,0.041421,74381.695,2017-11-08 23:59:59.999000064,3089.33245632,55893.0,33009.03800000,1371.39533512,0
2017-11-09,0.0416,0.046249,0.04129,0.044871,60221.858,2017-11-09 23:59:59.999000064,2651.70357017,45602.0,28007.27800000,1234.11320351,0
2017-11-10,0.044966,0.046692,0.043207,0.045549,63603.579,2017-11-10 23:59:59.999000064,2846.69713019,37677.0,26960.70500000,1207.42478583,0
2017-11-11,0.045179,0.05148,0.044088,0.049649,66270.633,2017-11-11 23:59:59.999000064,3125.21060067,44089.0,30692.19400000,1447.68323732,0
2017-11-12,0.049579,0.054,0.0452,0.052038,198379.991,2017-11-12 23:59:59.999000064,9971.3059979,159519.0,96816.11000000,4873.09992681,0
2017-11-13,0.052094,0.054661,0.046378,0.048417,83870.87,2017-11-13 23:59:59.999000064,4174.80184901,46921.0,40329.32500000,2007.29504515,0
2017-11-14,0.048329,0.052499,0.04727,0.051095,84058.246,2017-11-14 23:59:59.999000064,4169.40607711,51914.0,40181.81300000,1990.41297922,0
2017-11-15,0.05099,0.051063,0.045,0.045535,63916.465,2017-11-15 23:59:59.999000064,3047.04944197,40407.0,27855.46700000,1327.90567608,0
2017-11-16,0.045535,0.0465,0.041001,0.042006,85567.967,2017-11-16 23:59:59.999000064,3771.53634378,47098.0,37671.84500000,1662.13683502,0
2017-11-17,0.042002,0.043738,0.040914,0.042902,80997.404,2017-11-17 23:59:59.999000064,3425.14594844,43910.0,36283.83600000,1536.09131277,0
