jour,cours
2022-08-29,4545
2022-08-30,4530
2022-08-31,4595
2022-09-01,4550
2022-09-02,4550
2022-09-05,4550
2022-09-06,4550
2022-09-07,4545
2022-09-08,4550
2022-09-09,4505
2022-09-12,4500
2022-09-13,4500
2022-09-14,4545
2022-09-15,4800
2022-09-16,5160
2022-09-19,5160
2022-09-20,5000
2022-09-21,4800
2022-09-22,4800
2022-09-23,4800
2022-09-26,4605
2022-09-27,4600
2022-09-28,4600
2022-09-29,4600
2022-09-30,4600
2022-10-03,4600
2022-10-04,4600
2022-10-05,4490
2022-10-06,4495
2022-10-07,4400
2022-10-10,4500
2022-10-11,4800
2022-10-12,4500
2022-10-13,4500
2022-10-14,4550
2022-10-17,4795
2022-10-18,4600
2022-10-19,4600
2022-10-20,4600
2022-10-21,4600
2022-10-24,4595
2022-10-25,4600
2022-10-26,4700
2022-10-27,4600
2022-10-28,4500
2022-10-31,4650
2022-11-01,4650
2022-11-02,4600
2022-11-03,4500
2022-11-04,4500
2022-11-07,4500
2022-11-08,4500
2022-11-09,4500
2022-11-10,4600
2022-11-11,4600
2022-11-14,4410
2022-11-15,4410
2022-11-16,4650
2022-11-17,4650
2022-11-18,4600
2022-11-21,4600
2022-11-22,4500
2022-11-23,4600
2022-11-24,4600
2022-11-25,4525
2022-11-28,4500
2022-11-29,4500
2022-11-30,4350
2022-12-01,4310
2022-12-02,4270
2022-12-05,4400
2022-12-06,4400
2022-12-07,4455
2022-12-08,4255
2022-12-09,4260
2022-12-12,4495
2022-12-13,4500
2022-12-14,4500
2022-12-15,4500
2022-12-16,4500
2022-12-19,4485
2022-12-20,4595
2022-12-21,4595
2022-12-22,4485
2022-12-23,4590
2022-12-26,4590
2022-12-27,4500
2022-12-28,4590
2022-12-29,4500
2022-12-30,4585
2023-01-02,4585
2023-01-03,4550
2023-01-04,4500
2023-01-05,4500
2023-01-06,4500
2023-01-09,4480
2023-01-10,4500
2023-01-11,4600
2023-01-12,4600
2023-01-13,4500
2023-01-16,4500
2023-01-17,4500
2023-01-18,4490
2023-01-19,4645
2023-01-20,4640
